"exec","age_group","sex","comorbidity","covid","binary_patient_type","death","count","obesity","diabetes","hyperten","ckd","cardio","copd","asthma","immuno","hiv"
4,"[ 18 , 24 ]","M",0,0,"H",0,1508,0,0,0,0,0,0,0,0,0
4,"[ 18 , 24 ]","M",1,0,"H",0,318,82,51,54,82,55,3,34,115,27
4,"[ 18 , 24 ]","M",0,1,"H",0,423,0,0,0,0,0,0,0,0,0
4,"[ 18 , 24 ]","M",1,1,"H",0,73,28,16,18,18,23,6,13,27,10
5,"[ 18 , 24 ]","M",0,0,"A",22,198473,0,0,0,0,0,0,0,0,0
5,"[ 18 , 24 ]","M",1,0,"A",15,9807,4074,625,850,381,287,143,3419,470,401
5,"[ 18 , 24 ]","M",0,1,"A",18,102735,0,0,0,0,0,0,0,0,0
5,"[ 18 , 24 ]","M",1,1,"A",12,6805,3143,351,703,196,331,85,2398,207,256
5,"[ 18 , 24 ]","M",0,0,"H",0,1638,0,0,0,0,0,0,0,0,0
5,"[ 18 , 24 ]","M",1,0,"H",0,320,80,52,53,83,63,1,26,132,22
5,"[ 18 , 24 ]","M",0,1,"H",0,462,0,0,0,0,0,0,0,0,0
5,"[ 18 , 24 ]","M",1,1,"H",0,103,39,15,28,17,25,2,5,35,11
6,"[ 18 , 24 ]","M",0,0,"A",25,198249,0,0,0,0,0,0,0,0,0
6,"[ 18 , 24 ]","M",1,0,"A",6,9960,4212,611,854,364,322,132,3482,453,384
6,"[ 18 , 24 ]","M",0,1,"A",16,102785,0,0,0,0,0,0,0,0,0
6,"[ 18 , 24 ]","M",1,1,"A",11,6953,3231,368,652,186,283,93,2438,231,296
6,"[ 18 , 24 ]","M",0,0,"H",0,1537,0,0,0,0,0,0,0,0,0
6,"[ 18 , 24 ]","M",1,0,"H",0,328,89,50,52,81,50,2,22,130,12
6,"[ 18 , 24 ]","M",0,1,"H",0,430,0,0,0,0,0,0,0,0,0
6,"[ 18 , 24 ]","M",1,1,"H",0,101,38,16,26,22,28,0,7,31,8
7,"[ 18 , 24 ]","M",0,0,"A",26,197444,0,0,0,0,0,0,0,0,0
7,"[ 18 , 24 ]","M",1,0,"A",6,10050,4095,639,881,359,357,140,3570,461,390
7,"[ 18 , 24 ]","M",0,1,"A",24,103368,0,0,0,0,0,0,0,0,0
7,"[ 18 , 24 ]","M",1,1,"A",4,7021,3298,386,654,162,345,95,2354,236,317
7,"[ 18 , 24 ]","M",0,0,"H",0,1566,0,0,0,0,0,0,0,0,0
7,"[ 18 , 24 ]","M",1,0,"H",0,319,76,55,56,88,51,2,28,129,17
7,"[ 18 , 24 ]","M",0,1,"H",0,466,0,0,0,0,0,0,0,0,0
7,"[ 18 , 24 ]","M",1,1,"H",0,109,38,16,30,25,30,3,11,32,8
8,"[ 18 , 24 ]","M",0,0,"A",26,197468,0,0,0,0,0,0,0,0,0
8,"[ 18 , 24 ]","M",1,0,"A",11,10038,4227,599,895,398,313,130,3560,378,386
8,"[ 18 , 24 ]","M",0,1,"A",14,103368,0,0,0,0,0,0,0,0,0
8,"[ 18 , 24 ]","M",1,1,"A",6,7005,3237,405,696,181,329,97,2455,241,277
